Row.names	GeneSymbol	BRCAControl_NumNonMuts	BRCAControl_NumMuts	BRCAXControl_NumNonMuts	BRCAXControl_NumMuts	BRCAControl_MutationRate	BRCAXControl_MutationRate	FisherOddsRatio	Fisher_P	ExactTestStatistic	Exact_P
120406	FAM55B;FAM55B	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
122618	PLD4;PLD4	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
1237	CCR8;CCR8	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
125111	GJD3;GJD3	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
125981	ACER1;ACER1	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
127495	LRRC39;LRRC39	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
128859	BPIL3;BPIL3	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
1311	COMP;COMP	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
131377	KBTBD5;KBTBD5	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
131540	ZDHHC19;ZDHHC19	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
131870	NUDT16;NUDT16	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
133060	OTOP1;OTOP1	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
134864	TAAR1;TAAR1	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
135138	PACRG;PACRG	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
135398	C6orf141;C6orf141	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
138199	C9orf41;C9orf41	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
140706	C20orf160;C20orf160	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
1411	CRYBA1;CRYBA1	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
1418	CRYGA;CRYGA	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
144321	GLIPR1L2;GLIPR1L2	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
145497	C14orf166B;C14orf166B	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
146713	RBFOX3;RBFOX3	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
146894	CD300LG;CD300LG	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
147	ADRA1B;ADRA1B	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
1473	CST5;CST5	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
148789	B3GALNT2;B3GALNT2	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
1488	CTBP2;CTBP2	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
150684	COMMD1;COMMD1	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
151987	PPP4R2;PPP4R2	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
157983	C9orf66;C9orf66	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
1581	CYP7A1;CYP7A1	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
1584	CYP11B1;CYP11B1	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
1601	DAB2;DAB2	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
160298	C11orf42;C11orf42	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
161882	ZFPM1;ZFPM1	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
162	AP1B1;AP1B1	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
1632	ECI1;ECI1	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
163479	FNDC7;FNDC7	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
165829	GPR156;GPR156	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
1660	DHX9;DHX9	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
170063	CXorf22;CXorf22	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
1748	DLX4;DLX4	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
1819	DRG2;DRG2	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
1847	DUSP5;DUSP5	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
1861	TOR1A;TOR1A	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
1896	EDA;EDA	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
196743	PAOX;PAOX	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
201191	SAMD14;SAMD14	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
201456	FBXO15;FBXO15	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
201501	ZBTB7C;ZBTB7C	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
202559	KHDRBS2;KHDRBS2	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
203076	C8orf74;C8orf74	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
2052	EPHX1;EPHX1	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
205860	TRIML2;TRIML2	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
2063	NR2F6;NR2F6	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
2177	FANCD2;FANCD2	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
2185	PTK2B;PTK2B	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
219432	OR4C6;OR4C6	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
219527	LRRC55;LRRC55	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
219654	ZCCHC24;ZCCHC24	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
219988	PATL1;PATL1	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
219995	MS4A15;MS4A15	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
220108	FAM124A;FAM124A	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
220164	DOK6;DOK6	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
221357	GSTA5;GSTA5	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
22821	RASA3;RASA3	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
22828	SCAF8;SCAF8	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
22986	SORCS3;SORCS3	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
22997	IGSF9B;IGSF9B	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
23091	ZC3H13;ZC3H13	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
23158	TBC1D9;TBC1D9	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
23275	POFUT2;POFUT2	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
2328	FMO3;FMO3	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
23329	TBC1D30;TBC1D30	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
23371	TENC1;TENC1	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
23483	TGDS;TGDS	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
23539	SLC16A8;SLC16A8	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
23544	SEZ6L;SEZ6L	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
23613	ZMYND8;ZMYND8	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
23619	ZIM2;ZIM2	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
23654	PLXNB2;PLXNB2	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
23731	C9orf5;C9orf5	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
241	ALOX5AP;ALOX5AP	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
254173	TTLL10;TTLL10	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
254394	MCM9;MCM9	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
2556	GABRA3;GABRA3	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
256006	ANKRD31;ANKRD31	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
25885	POLR1A;POLR1A	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
25911	DPCD;DPCD	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
25926	NOL11;NOL11	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
259287	TAS2R41;TAS2R41	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
26012	NELF;NELF	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
26037	SIPA1L1;SIPA1L1	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
26083	TBC1D29;TBC1D29	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
26103	LRIT1;LRIT1	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
26219	OR1J4;OR1J4	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
26268	FBXO9;FBXO9	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
268	AMH;AMH	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
27006	FGF22;FGF22	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
27042	DIEXF;DIEXF	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
27067	STAU2;STAU2	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
27106	ARRDC2;ARRDC2	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
27152	INTU;INTU	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
2717	GLA;GLA	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
27239	GPR162;GPR162	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
27240	SIT1;SIT1	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
27439	CECR6;CECR6	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
2752	GLUL;GLUL	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
2811	GP1BA;GP1BA	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
283373	ANKRD52;ANKRD52	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
284114	TMEM102;TMEM102	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
284131	ENDOV;ENDOV	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
284680	C1orf111;C1orf111	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
2848	GPR25;GPR25	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
285220	EPHA6;EPHA6	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
285550	FAM200B;FAM200B	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
